As@1,As@2,As@5,As@10,P@1,P@2,P@5,P@10,H@1,H@2,H@5,H@10,ACC@1,ACC@2,ACC@5,ACC@10,R@1,R@2,R@5,R@10,MRR,Filename,Parent Folder
0.01717567604233012,0.03435135208466024,0.08587838021165072,0.17175676042330143,0.253,0.2195,0.16813333333333338,0.17353333333333282,0.0038902758961507113,0.006712881314572451,0.012234990564764682,0.023874963356506528,0.01,0.013,0.024566666666666615,0.039327380952381114,0.0038902758961507113,0.006712881314572451,0.012234990564764682,0.023874963356506528,0.22870806870997976,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_nouns_zeroshot_commasep.txt,multialignet/Meta-Llama-3-70B-AWQ
0.031264700343131745,0.06252940068626349,0.15632350171565826,0.3126470034313165,0.132,0.113,0.08570000000000032,0.07851706349206355,0.0036149523532537165,0.006033391432169319,0.011653767907406845,0.02049595479945554,0.007,0.0115,0.017749999999999974,0.032925793650793726,0.0036149523532537165,0.006033391432169319,0.011653767907406845,0.02049595479945554,0.12679632177031222,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_adjectives_zeroshot_commasep.txt,multialignet/Meta-Llama-3-70B-AWQ
0.01717567604233012,0.03435135208466024,0.08587838021165072,0.17175676042330143,0.237,0.197,0.15173333333333341,0.1584238095238089,0.003805431130351157,0.006209829408428559,0.011625612549353261,0.024021887086324654,0.007,0.0105,0.019199999999999967,0.04070952380952401,0.003805431130351157,0.006209829408428559,0.011625612549353261,0.024021887086324654,0.2245624657162581,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_nouns_zeroshot_json.txt,multialignet/Meta-Llama-3-70B-AWQ
0.014051234982050012,0.028102469964100023,0.07025617491025014,0.1405123498205003,0.124,0.1095,0.1212000000000007,0.12410476190476138,0.0015052516599737458,0.0026029759865318336,0.007055384034080836,0.01422748494578235,0.011,0.0145,0.026299999999999955,0.0383678571428573,0.0015052516599737458,0.0026029759865318336,0.007055384034080836,0.01422748494578235,0.20038064032936884,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_verbs_zeroshot_commasep.txt,multialignet/Meta-Llama-3-70B-AWQ
0.031264700343131745,0.06252940068626349,0.15632350171565826,0.3126470034313165,0.134,0.113,0.07840000000000033,0.0777000000000001,0.0035508486037453746,0.006016285834888041,0.010744328689146721,0.021432981729930786,0.006,0.0155,0.02039999999999997,0.03480000000000012,0.0035508486037453746,0.006016285834888041,0.010744328689146721,0.021432981729930786,0.14376179810520176,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_adjectives_zeroshot_json.txt,multialignet/Meta-Llama-3-70B-AWQ
0.014051234982050012,0.028102469964100023,0.07025617491025014,0.1405123498205003,0.079,0.0765,0.08175000000000036,0.09542142857142824,0.0010752064452263946,0.0019801130120114703,0.004798207773721925,0.010448515589107586,0.011,0.013,0.016583333333333315,0.021398809523809542,0.0010752064452263946,0.0019801130120114703,0.004798207773721925,0.010448515589107586,0.17689474858789853,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_verbs_oneshot_commasep.txt,multialignet/Meta-Llama-3-70B-AWQ
0.031264700343131745,0.06252940068626349,0.15632350171565826,0.3126470034313165,0.196,0.1605,0.12606666666666744,0.10216230158730136,0.004817581834879879,0.00804994646314907,0.01652990850504478,0.026295120812570627,0.02,0.026,0.03629999999999998,0.04655357142857168,0.004817581834879879,0.00804994646314907,0.01652990850504478,0.026295120812570627,0.19007083633969704,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_adjectives_oneshot_json.txt,multialignet/Meta-Llama-3-70B-AWQ
0.014051234982050012,0.028102469964100023,0.07025617491025014,0.1405123498205003,0.191,0.1655,0.1384166666666672,0.14290436507936444,0.0023403842281609485,0.004225789393724066,0.008531978776770217,0.01693901808518864,0.015,0.0235,0.03123333333333327,0.03674761904761918,0.0023403842281609485,0.004225789393724066,0.008531978776770217,0.01693901808518864,0.23614869877740083,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_verbs_oneshot_json.txt,multialignet/Meta-Llama-3-70B-AWQ
0.014051234982050012,0.028102469964100023,0.07025617491025014,0.1405123498205003,0.154,0.1195,0.11385000000000077,0.11824999999999967,0.0019330240274760505,0.002948716642481214,0.007121010163144191,0.015001297424155695,0.018,0.017,0.023649999999999956,0.03695000000000015,0.0019330240274760505,0.002948716642481214,0.007121010163144191,0.015001297424155695,0.19121885840200464,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_verbs_zeroshot_json.txt,multialignet/Meta-Llama-3-70B-AWQ
0.01717567604233012,0.03435135208466024,0.08587838021165072,0.17175676042330143,0.201,0.1725,0.16381666666666694,0.1374865079365075,0.003324996034703487,0.005502627609142714,0.012213072594758468,0.01913590030906685,0.011,0.011,0.024849999999999952,0.03425793650793661,0.003324996034703487,0.005502627609142714,0.012213072594758468,0.01913590030906685,0.23110691006286116,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_nouns_oneshot_json.txt,multialignet/Meta-Llama-3-70B-AWQ
